BE;3 Fonteinen ;
BE;Brouwerij Bosteels ;
BE;Brouwerij De Leyerth ;
BE;Brouwerij F, Boon ;
BE;Brouwerij Het Anker ;
BE;Brouwerij Roman ;
BE;Brunehaut ;
BE;Cantillon ;
BE;De Dolle Brouwers ;
BE;De Struise Brouwers ;
BE;Du Bocq ;
BE;Duvel Moortgat ;
BE;Huisbrouwerij De Halve Maan ;
BE;Oud Beersel ;
BE;La Rulles;
BE;Struise ;
BE;Verhaeghe ;
CZ;Budweiser Budvar ;
DE;Bayerische Staatsbrauerei Weihenstephan ;
DE;Bitburger Brauerei Th. Simon ;
DE;Brauerei Aying ;
DE;Brauerei Heller ;
DE;Brauerei Maisel ;
DE;Brauerei Pinkus Müller ;
DE;Erdinger Weissbräu ;
DE;Pivovar Nachod ;
DE;Weissbierbrauerei G. Schneider & Sohn ;
DK;Amager Bryghus ;
DK;Beer Here ;
DK;Bryggeriet KVAJJ ;
DK;Bryggeriet Skands ;
DK;Bøgedal Bryghus ;
DK;Evil Twin Brewing ;
DK;Grassroots Brewing ;
DK;Herslev Bryghus ;
DK;Herslev Bryghus ;
DK;Holbæk Bryg ;
DK;Hornbeer ;
DK;Husbryggeriet Jacobsen ;
DK;Indslev Bryggeri ;
DK;Kissmeyer Beer ;
DK;Klosterbryggeriet ;
DK;Midtfyns Bryghus ;
DK;Mikkeller ;
DK;Nørrebro Bryghus ;
DK;Randers Bryghus ;
DK;Rise Bryggeri ;
DK;Rise Bryghus ;
DK;Raasted Bryghus ;
DK;Stensbogaard Bryghus ;
DK;Svaneke Bryghus ;
DK;The Evil Twin ;
DK;Warwik Bryghus ;
DK;Xbeeriment ;
ES;Cerveces La Gardenia ;
ES;Damm ;
ES;Mahou ;
FR;Brasserie Saint-Germain ;
GB;Adnams ;
GB;Camden Town Brewery ;
GB;Fullers ;
GB;Jennings ;
GB;Meantime Brewing ;
GB;O'Hanlon ;
GB;Ramsgate Brewery ;
GB;St, Peter's Brewery ;
GB;St. Austell Brewery ;
GB;St. Peters ;
GB;Theakston ;
GB;Thornbridge Brewery ;
GB;Wells & Youngs ;
GB;Wye Valley Brewery ;
IN;United Breweries Group ;
IE;Carlow Brewing ;
IT;Almond 22 ;
IT;Birrificio del Ducato ;
IT;Birrificio Italiano ;
IT;Birrificio Pausa Cafe ;
IT;Birrificio Toccalmatto ;
IT;LoverBeer ;
IT;Opperbacco ;
IT;Panil Birra Arigianale ;
IT;Theresianer Antica Birreria di Trieste ;
JP;Baird Brewing Co. ;
JP;Kiuchi Brewery ;
JP;Tamamura-Honten ;
LT;Svyturys ;
MX;FEMSA ;
NZ;8 Wired Brewing ;
NL;Bierbrouwerij Emelisse ;
NL;Brouwerij De Molen ;
NL;Brouwerij Emelisse ;
NL;De Koningshoeven ;
NL;De Molen ;
NO;Amundsen Bryggeri & Spiseri;
NO;Arendals Bryggeri ;
NO;Atna Øl ;
NO;Berentsens Brygghus ;
NO;Borg Bryggerier ;
NO;Café Ni Muser;
NO;Christianssands Bryggeri ;
NO;Dahls Bryggeri ;
NO;Ekspedisjonen Skjenkestove;
NO;Espedalen Fjellbryggeri;
NO;Finse 1223 Mikrobryggeri;
NO;Grans Bryggeri ;
NO;Hanne På Høydens Bryggeri;
NO;Hansa Bryggeri ;
NO;Hønefoss Brygghus;
NO;Haandbryggeriet ;
NO;Inderøy Gardsbryggeri ;
NO;Kinn Bryggeri ;
NO;Klostergården;
NO;Lervig Aktiebryggeri ;
NO;Lillehammer Bryggeri;
NO;Mack Bryggeri ;
NO;Nøgne Ø ;
NO;Oslo Mikrobryggeri;
NO;Provianten;
NO;Ringnes Bryggeri ;
NO;Røros Bryggeri og Mineralvannsfabrikk ;
NO;Schouskjelleren Mikrobryggeri;
NO;Sundbytunet;
NO;To Tårn Bryggeri;
NO;Trio Bryggeri ;
NO;Trollbryggeriet ;
NO;Trondhjem Mikrobryggeri;
NO;Union Bryggeri ;
NO;Valdres Gardsbryggeri ;
NO;Waldemars Mikrobryggeri;
NO;Ægir Bryggeri;
NO;Ølve på Egge Bryggeri ;
NO;Aass Bryggeri ;
PL;Browar Amber ;
PL;Zywiec ;
SE;Dugges Ale & Porterbryggeri ;
SE;Hantverksbryggeriet ;
SE;Närke Kulturbryggeri ;
SE;Oppigårds Bryggeri ;
SE;Sigtuna Brygghus ;
SE;Slottskällans Bryggeri ;
SE;Sofiero ;
GB;Belhaven ;
GB;Brewdog ;
GB;Harviestoun ;
GB;Inveralmond Brewery ;
GB;Williams Brothers ;
ZA;Bierwerk ;
TH;Thai Beverages ;
TT;Carib Brewery ;
US;AleSmith Brewing ;
US;Anchor Brewing ;
US;Anderson Valley Brewing ;
US;Avery Brewing ;
US;Boston Beer Company ;
US;Brooklyn Brewery ;
US;Captain Lawrence ;
US;Cigar City Brewing ;
US;Coors Brewing Company ;
US;Dark Horse Brewing ;
US;Flying Dog ;
US;Founders ;
US;Founders Brewing ;
US;Goose Island Beer Company ;
US;Great Divide Brewing ;
US;Green Flash Brewing ;
US;Hoppin' Frog ;
US;Jolly Pumpkin Artisan Ales ;
US;Left Coast ;
US;Left Hand Brewing ;
US;Lost Abbey ;
US;North Coast Brewing ;
US;Oskar Blues Grill & Brew ;
US;Port Brewing ;
US;Pretty Things Beer & Ale Project ;
US;Rogue Ales ;
US;Shipyard Brewing ;
US;Shorts Brewing ;
US;Sierra Nevada ;
US;SKA Brewing ;
US;Smuttynose Brewing ;
US;Southern Tier Brewing  Company;
US;Stone Brewing ;
US;The Bruery ;
US;The Duck Rabbit Craft Brewery ;
US;Uncommon Brewers ;
US;Weyerbacher Brewing ;
VN;Sabeco ;
AT;Brauerei Gusswerk ;
FR;Du Monde;
GB;Marston's Beer Company;
US;Samuel Adams;
NO;Breiflabben Brygghus;
NO;Gjerberg bryggeri;
NO;Klostergården Håndbryggeri;
NO;Små Vesen Bryggeri;